PH,lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
15,1,2025-05-11,11,24.699947250871446,17.736832280997636,11.458474068099852,94.41340782122904,10,0,179,0.021478521326986896,5.696942669020923e-05,0.23926550303066857,0.40664492327711377,17.72528703235817,2.755839010138405
15,2,2025-05-12,11,18.470183602630513,12.868161331900044,7.859812734238691,75.08771929824562,71,0,285,0.005,0.0001,0.01,0.5,18.685415207823397,3.908140510111943
15,3,2025-05-13,11,22.302958047919546,9.828866573700585,6.490173120490854,88.42105263157895,33,0,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,4,2025-05-14,11,22.088595918907075,13.959273725184158,8.713639935723528,77.54385964912281,63,1,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,5,2025-05-15,11,11.027002405507778,7.85419291756976,5.637217157837389,83.15789473684211,48,0,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,6,2025-05-16,11,13.951687323742156,9.018321371603493,6.605683350369253,96.14035087719299,11,0,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,7,2025-05-17,11,17.583320649615235,11.788099608171404,8.370818990560341,85.6140350877193,35,6,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,8,2025-05-18,11,19.337085941754605,11.441374755220886,8.129963867624902,89.47368421052632,30,0,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,9,2025-05-19,11,20.449865782293855,11.088114925511535,7.892553389077095,84.21052631578947,35,10,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,10,2025-05-20,11,21.871375664097517,12.963747375665458,9.187246895542375,81.40350877192982,49,4,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
15,11,2025-05-21,11,18.82604370724893,12.443428017142281,7.9883290900535515,67.36842105263158,72,21,285,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
30,1,2025-05-11,11,34.13371891429602,26.248978584747036,16.822742726489956,97.72727272727273,4,0,176,0.021478521326986896,5.696942669020923e-05,0.23926550303066857,0.40664492327711377,17.72528703235817,2.755839010138405
30,2,2025-05-12,11,30.54312886069332,21.47107765345974,12.924396975799656,83.33333333333334,47,0,282,0.005,0.0001,0.01,0.5,18.685415207823397,3.908140510111943
30,3,2025-05-13,11,28.25323491900201,14.928802315906816,9.95508349294415,86.87943262411348,37,0,282,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
30,4,2025-05-14,11,28.962057684871148,21.187395978662117,13.28536953845449,76.59574468085107,66,0,282,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
30,5,2025-05-15,11,15.117585208748325,11.798438347238129,8.596090255438387,89.00709219858156,31,0,282,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
30,6,2025-05-16,11,18.660537776404613,13.378303202268983,9.894003913245255,96.09929078014184,11,0,282,0.005,1e-06,0.13191571864350263,0.5,40.41522652402122,4.326051697766198
